2,24,전남창조경제혁신센터의 전남으뜸창업 플랫폼이 '2023 대한민국 SNS 대상'에서 공공부문 비영리분야 최우수상을 수상했다.
3,23,가짜뉴스 대신 디스/미스인포메이션 개념을 적용하고 진실에 대한 열린 투쟁을 지지해야 한다.
4,45,미국 소비자물가지수(CPI) 상승과 미국 정치권의 이란 제재 강화 주문으로 우리 증시와 환율이 하락했다.
5,26,경기도 수원에서 열린 전세피해자 설명회에 많은 임차인들이 참석하여 관심을 보였다.
6,27,"1970년대부터 1990년대까지는 버스를 타기 위해 토큰이나 회수권을 사용했으나, 이제는 버스 카드로 편리하게 요금을 지불한다."
7,29,한국인 교민을 포함한 220명이 탑승한 군수송기가 이스라엘에서 도착했다.
8,30,방송인 박수홍은 故 김용호의 형수를 명예훼손 혐의로 고소할 예정이라고 밝혔다.
9,86,원희룡 국토교통부 장관은 인천 검단 아파트 붕괴와 관련해 GS건설과 한국토지주택공사에 책임을 다하도록 감독자 역할을 할 것이라고 강조했다.
10,31,전남창조경제혁신센터가 '2023 국제농업박람회 해외바이어 농산품 수출상담회'에서 2000만 달러 규모의 수출 계약을 체결했다.
11,33,9명이 1089회 로또복권 추첨에서 1등 당첨번호 6개를 맞혀 29억7852만원을 받게 되었다.
12,114,충남 서천군 장항읍 도로에서 무단 횡단 중인 행인 2명이 차량에 치여 숨진 사고가 발생했습니다.
13,115,대전시가 자치구별로 '찾아가는 전세사기 상담'을 실시하며 상담 장소와 방문 날짜를 안내합니다.
14,116,한국 남자 축구대표팀이 일본을 이기고 아시안게임 금메달을 차지한 것에 대한 홍대 거리의 열기와 응원이 소개되었다.
15,32,"로또 1089회 당첨번호는 ''4·18·31·37·42·43''이며, 1등 당첨자는 9명이다."
16,117,"서천군 펜션에서 발생한 화재로 피해액 7백만 원, 투숙객 1명 다침. 경찰과 소방이 원인 조사 중."
17,118,보령시에서 발생한 승마 사고로 50대 여성이 다쳐 병원으로 옮겨져 치료 중이다.
18,94,"전국은 상승세를 보이는 반면, 울산의 아파트값은 하락세를 이어가고 있다."
19,42,"국토교통부는 한 달 동안 불법 자동차 단속을 강화하고, 불법 튜닝, 무등록, 번호판 미부착 등을 주요 단속 대상으로 한다."
20,43,"중국은 2023년 9월에 위안화 신규 융자로 2조3100억 위안을 지급했으며, 이는 전년 동월에 비해 1600억 위안 감소한 수치이다."
